store_id,category_id,MAE,Bias
1,1,3.4554616610209146,1.876986026763916
1,2,3.852783521016439,0.6036945978800455
1,3,2.4049437840779624,2.4049437840779624
1,4,1.8400235176086426,1.8400235176086426
1,5,2.0695024728775024,-1.014699896176656
1,6,0.8100894292195638,0.8100894292195638
1,7,2.620105743408203,-2.386596997578939
2,1,9.20462417602539,-4.087487538655599
2,2,6.218945185343425,3.4498106638590493
2,3,12.787273406982422,-4.310894012451172
2,4,3.5374765396118164,2.883450508117676
2,5,5.174530029296875,-4.69874636332194
2,6,7.093557993570964,6.069418589274089
2,7,16.73887284596761,-11.448167483011881
3,1,4.450158993403117,-2.960108677546183
3,2,0.9946601390838623,-0.272258996963501
3,3,6.221149285634358,-2.6641856829325357
3,4,1.3304844697316487,0.48894254366556805
3,5,2.1680737336476645,-0.6685834725697836
3,6,0.8008403778076172,0.702397346496582
3,7,2.7322000662485757,-2.7322000662485757
