store_id,category_id,month_start,units_sold,store_name,category_name
1,1,2016-01-01,6,Santa Cruz Bikes,Children Bicycles
1,1,2016-02-01,8,Santa Cruz Bikes,Children Bicycles
1,1,2016-03-01,2,Santa Cruz Bikes,Children Bicycles
1,1,2016-04-01,6,Santa Cruz Bikes,Children Bicycles
1,1,2016-05-01,3,Santa Cruz Bikes,Children Bicycles
1,1,2016-06-01,5,Santa Cruz Bikes,Children Bicycles
1,1,2016-07-01,3,Santa Cruz Bikes,Children Bicycles
1,1,2016-08-01,5,Santa Cruz Bikes,Children Bicycles
1,1,2016-09-01,4,Santa Cruz Bikes,Children Bicycles
1,1,2016-10-01,8,Santa Cruz Bikes,Children Bicycles
1,1,2016-11-01,9,Santa Cruz Bikes,Children Bicycles
1,1,2016-12-01,9,Santa Cruz Bikes,Children Bicycles
1,1,2017-01-01,14,Santa Cruz Bikes,Children Bicycles
1,1,2017-02-01,7,Santa Cruz Bikes,Children Bicycles
1,1,2017-03-01,14,Santa Cruz Bikes,Children Bicycles
1,1,2017-04-01,8,Santa Cruz Bikes,Children Bicycles
1,1,2017-05-01,10,Santa Cruz Bikes,Children Bicycles
1,1,2017-06-01,3,Santa Cruz Bikes,Children Bicycles
1,1,2017-07-01,9,Santa Cruz Bikes,Children Bicycles
1,1,2017-08-01,10,Santa Cruz Bikes,Children Bicycles
1,1,2017-09-01,7,Santa Cruz Bikes,Children Bicycles
1,1,2017-10-01,6,Santa Cruz Bikes,Children Bicycles
1,1,2017-11-01,12,Santa Cruz Bikes,Children Bicycles
1,1,2017-12-01,13,Santa Cruz Bikes,Children Bicycles
1,1,2018-01-01,6,Santa Cruz Bikes,Children Bicycles
1,1,2018-02-01,4,Santa Cruz Bikes,Children Bicycles
1,1,2018-03-01,9,Santa Cruz Bikes,Children Bicycles
1,2,2016-01-01,4,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-02-01,8,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-03-01,3,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-04-01,3,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-05-01,6,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-06-01,1,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-07-01,0,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-08-01,4,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-09-01,10,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-10-01,10,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-11-01,4,Santa Cruz Bikes,Comfort Bicycles
1,2,2016-12-01,7,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-01-01,5,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-02-01,8,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-03-01,5,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-04-01,5,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-05-01,4,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-06-01,4,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-07-01,2,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-08-01,3,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-09-01,14,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-10-01,8,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-11-01,4,Santa Cruz Bikes,Comfort Bicycles
1,2,2017-12-01,7,Santa Cruz Bikes,Comfort Bicycles
1,2,2018-01-01,3,Santa Cruz Bikes,Comfort Bicycles
1,2,2018-02-01,2,Santa Cruz Bikes,Comfort Bicycles
1,2,2018-03-01,9,Santa Cruz Bikes,Comfort Bicycles
1,3,2016-01-01,14,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-02-01,19,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-03-01,19,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-04-01,18,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-05-01,6,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-06-01,17,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-07-01,2,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-08-01,13,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-09-01,28,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-10-01,30,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-11-01,8,Santa Cruz Bikes,Cruisers Bicycles
1,3,2016-12-01,12,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-01-01,15,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-02-01,4,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-03-01,13,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-04-01,3,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-05-01,12,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-06-01,17,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-07-01,16,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-08-01,14,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-09-01,7,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-10-01,13,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-11-01,7,Santa Cruz Bikes,Cruisers Bicycles
1,3,2017-12-01,17,Santa Cruz Bikes,Cruisers Bicycles
1,3,2018-01-01,6,Santa Cruz Bikes,Cruisers Bicycles
1,3,2018-02-01,10,Santa Cruz Bikes,Cruisers Bicycles
1,3,2018-03-01,6,Santa Cruz Bikes,Cruisers Bicycles
1,4,2016-01-01,6,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-02-01,4,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-03-01,2,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-04-01,4,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-05-01,8,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-06-01,4,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-07-01,3,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-08-01,5,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-09-01,6,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-10-01,10,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-11-01,1,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2016-12-01,3,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-01-01,3,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-02-01,3,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-03-01,1,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-04-01,0,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-05-01,2,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-06-01,2,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-07-01,2,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-08-01,3,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-09-01,0,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-10-01,0,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-11-01,0,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2017-12-01,6,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2018-01-01,1,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2018-02-01,0,Santa Cruz Bikes,Cyclocross Bicycles
1,4,2018-03-01,0,Santa Cruz Bikes,Cyclocross Bicycles
1,5,2016-01-01,5,Santa Cruz Bikes,Electric Bikes
1,5,2016-02-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2016-03-01,3,Santa Cruz Bikes,Electric Bikes
1,5,2016-04-01,0,Santa Cruz Bikes,Electric Bikes
1,5,2016-05-01,1,Santa Cruz Bikes,Electric Bikes
1,5,2016-06-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2016-07-01,1,Santa Cruz Bikes,Electric Bikes
1,5,2016-08-01,1,Santa Cruz Bikes,Electric Bikes
1,5,2016-09-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2016-10-01,8,Santa Cruz Bikes,Electric Bikes
1,5,2016-11-01,5,Santa Cruz Bikes,Electric Bikes
1,5,2016-12-01,1,Santa Cruz Bikes,Electric Bikes
1,5,2017-01-01,0,Santa Cruz Bikes,Electric Bikes
1,5,2017-02-01,1,Santa Cruz Bikes,Electric Bikes
1,5,2017-03-01,0,Santa Cruz Bikes,Electric Bikes
1,5,2017-04-01,0,Santa Cruz Bikes,Electric Bikes
1,5,2017-05-01,0,Santa Cruz Bikes,Electric Bikes
1,5,2017-06-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2017-07-01,4,Santa Cruz Bikes,Electric Bikes
1,5,2017-08-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2017-09-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2017-10-01,1,Santa Cruz Bikes,Electric Bikes
1,5,2017-11-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2017-12-01,0,Santa Cruz Bikes,Electric Bikes
1,5,2018-01-01,2,Santa Cruz Bikes,Electric Bikes
1,5,2018-02-01,5,Santa Cruz Bikes,Electric Bikes
1,5,2018-03-01,1,Santa Cruz Bikes,Electric Bikes
1,6,2016-01-01,22,Santa Cruz Bikes,Mountain Bikes
1,6,2016-02-01,8,Santa Cruz Bikes,Mountain Bikes
1,6,2016-03-01,17,Santa Cruz Bikes,Mountain Bikes
1,6,2016-04-01,11,Santa Cruz Bikes,Mountain Bikes
1,6,2016-05-01,6,Santa Cruz Bikes,Mountain Bikes
1,6,2016-06-01,8,Santa Cruz Bikes,Mountain Bikes
1,6,2016-07-01,8,Santa Cruz Bikes,Mountain Bikes
1,6,2016-08-01,12,Santa Cruz Bikes,Mountain Bikes
1,6,2016-09-01,22,Santa Cruz Bikes,Mountain Bikes
1,6,2016-10-01,14,Santa Cruz Bikes,Mountain Bikes
1,6,2016-11-01,15,Santa Cruz Bikes,Mountain Bikes
1,6,2016-12-01,13,Santa Cruz Bikes,Mountain Bikes
1,6,2017-01-01,9,Santa Cruz Bikes,Mountain Bikes
1,6,2017-02-01,16,Santa Cruz Bikes,Mountain Bikes
1,6,2017-03-01,17,Santa Cruz Bikes,Mountain Bikes
1,6,2017-04-01,4,Santa Cruz Bikes,Mountain Bikes
1,6,2017-05-01,18,Santa Cruz Bikes,Mountain Bikes
1,6,2017-06-01,12,Santa Cruz Bikes,Mountain Bikes
1,6,2017-07-01,11,Santa Cruz Bikes,Mountain Bikes
1,6,2017-08-01,19,Santa Cruz Bikes,Mountain Bikes
1,6,2017-09-01,9,Santa Cruz Bikes,Mountain Bikes
1,6,2017-10-01,14,Santa Cruz Bikes,Mountain Bikes
1,6,2017-11-01,13,Santa Cruz Bikes,Mountain Bikes
1,6,2017-12-01,11,Santa Cruz Bikes,Mountain Bikes
1,6,2018-01-01,10,Santa Cruz Bikes,Mountain Bikes
1,6,2018-02-01,9,Santa Cruz Bikes,Mountain Bikes
1,6,2018-03-01,9,Santa Cruz Bikes,Mountain Bikes
1,7,2016-01-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-02-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-03-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-04-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-05-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-06-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-07-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-08-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-09-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-10-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-11-01,0,Santa Cruz Bikes,Road Bikes
1,7,2016-12-01,0,Santa Cruz Bikes,Road Bikes
1,7,2017-01-01,7,Santa Cruz Bikes,Road Bikes
1,7,2017-02-01,4,Santa Cruz Bikes,Road Bikes
1,7,2017-03-01,6,Santa Cruz Bikes,Road Bikes
1,7,2017-04-01,3,Santa Cruz Bikes,Road Bikes
1,7,2017-05-01,3,Santa Cruz Bikes,Road Bikes
1,7,2017-06-01,4,Santa Cruz Bikes,Road Bikes
1,7,2017-07-01,4,Santa Cruz Bikes,Road Bikes
1,7,2017-08-01,2,Santa Cruz Bikes,Road Bikes
1,7,2017-09-01,5,Santa Cruz Bikes,Road Bikes
1,7,2017-10-01,0,Santa Cruz Bikes,Road Bikes
1,7,2017-11-01,9,Santa Cruz Bikes,Road Bikes
1,7,2017-12-01,6,Santa Cruz Bikes,Road Bikes
1,7,2018-01-01,13,Santa Cruz Bikes,Road Bikes
1,7,2018-02-01,6,Santa Cruz Bikes,Road Bikes
1,7,2018-03-01,6,Santa Cruz Bikes,Road Bikes
2,1,2016-01-01,24,Baldwin Bikes,Children Bicycles
2,1,2016-02-01,31,Baldwin Bikes,Children Bicycles
2,1,2016-03-01,19,Baldwin Bikes,Children Bicycles
2,1,2016-04-01,11,Baldwin Bikes,Children Bicycles
2,1,2016-05-01,18,Baldwin Bikes,Children Bicycles
2,1,2016-06-01,18,Baldwin Bikes,Children Bicycles
2,1,2016-07-01,18,Baldwin Bikes,Children Bicycles
2,1,2016-08-01,23,Baldwin Bikes,Children Bicycles
2,1,2016-09-01,21,Baldwin Bikes,Children Bicycles
2,1,2016-10-01,36,Baldwin Bikes,Children Bicycles
2,1,2016-11-01,10,Baldwin Bikes,Children Bicycles
2,1,2016-12-01,19,Baldwin Bikes,Children Bicycles
2,1,2017-01-01,29,Baldwin Bikes,Children Bicycles
2,1,2017-02-01,34,Baldwin Bikes,Children Bicycles
2,1,2017-03-01,44,Baldwin Bikes,Children Bicycles
2,1,2017-04-01,41,Baldwin Bikes,Children Bicycles
2,1,2017-05-01,25,Baldwin Bikes,Children Bicycles
2,1,2017-06-01,32,Baldwin Bikes,Children Bicycles
2,1,2017-07-01,40,Baldwin Bikes,Children Bicycles
2,1,2017-08-01,29,Baldwin Bikes,Children Bicycles
2,1,2017-09-01,37,Baldwin Bikes,Children Bicycles
2,1,2017-10-01,42,Baldwin Bikes,Children Bicycles
2,1,2017-11-01,33,Baldwin Bikes,Children Bicycles
2,1,2017-12-01,22,Baldwin Bikes,Children Bicycles
2,1,2018-01-01,26,Baldwin Bikes,Children Bicycles
2,1,2018-02-01,23,Baldwin Bikes,Children Bicycles
2,1,2018-03-01,39,Baldwin Bikes,Children Bicycles
2,2,2016-01-01,12,Baldwin Bikes,Comfort Bicycles
2,2,2016-02-01,28,Baldwin Bikes,Comfort Bicycles
2,2,2016-03-01,20,Baldwin Bikes,Comfort Bicycles
2,2,2016-04-01,12,Baldwin Bikes,Comfort Bicycles
2,2,2016-05-01,15,Baldwin Bikes,Comfort Bicycles
2,2,2016-06-01,18,Baldwin Bikes,Comfort Bicycles
2,2,2016-07-01,20,Baldwin Bikes,Comfort Bicycles
2,2,2016-08-01,24,Baldwin Bikes,Comfort Bicycles
2,2,2016-09-01,21,Baldwin Bikes,Comfort Bicycles
2,2,2016-10-01,20,Baldwin Bikes,Comfort Bicycles
2,2,2016-11-01,19,Baldwin Bikes,Comfort Bicycles
2,2,2016-12-01,17,Baldwin Bikes,Comfort Bicycles
2,2,2017-01-01,29,Baldwin Bikes,Comfort Bicycles
2,2,2017-02-01,19,Baldwin Bikes,Comfort Bicycles
2,2,2017-03-01,13,Baldwin Bikes,Comfort Bicycles
2,2,2017-04-01,26,Baldwin Bikes,Comfort Bicycles
2,2,2017-05-01,28,Baldwin Bikes,Comfort Bicycles
2,2,2017-06-01,22,Baldwin Bikes,Comfort Bicycles
2,2,2017-07-01,20,Baldwin Bikes,Comfort Bicycles
2,2,2017-08-01,21,Baldwin Bikes,Comfort Bicycles
2,2,2017-09-01,14,Baldwin Bikes,Comfort Bicycles
2,2,2017-10-01,32,Baldwin Bikes,Comfort Bicycles
2,2,2017-11-01,16,Baldwin Bikes,Comfort Bicycles
2,2,2017-12-01,16,Baldwin Bikes,Comfort Bicycles
2,2,2018-01-01,16,Baldwin Bikes,Comfort Bicycles
2,2,2018-02-01,6,Baldwin Bikes,Comfort Bicycles
2,2,2018-03-01,14,Baldwin Bikes,Comfort Bicycles
2,3,2016-01-01,66,Baldwin Bikes,Cruisers Bicycles
2,3,2016-02-01,49,Baldwin Bikes,Cruisers Bicycles
2,3,2016-03-01,58,Baldwin Bikes,Cruisers Bicycles
2,3,2016-04-01,44,Baldwin Bikes,Cruisers Bicycles
2,3,2016-05-01,57,Baldwin Bikes,Cruisers Bicycles
2,3,2016-06-01,29,Baldwin Bikes,Cruisers Bicycles
2,3,2016-07-01,70,Baldwin Bikes,Cruisers Bicycles
2,3,2016-08-01,43,Baldwin Bikes,Cruisers Bicycles
2,3,2016-09-01,52,Baldwin Bikes,Cruisers Bicycles
2,3,2016-10-01,48,Baldwin Bikes,Cruisers Bicycles
2,3,2016-11-01,44,Baldwin Bikes,Cruisers Bicycles
